concept_label,canonical_name,family
outbreak_anomaly_detection,Outbreak and anomaly detection,forecasting_dynamics
outbreak_detection_algorithms,Outbreak detection algorithms,forecasting_dynamics
outbreak_detection_program_evaluation,Outbreak detection program evaluation,forecasting_dynamics
outbreak_surveillance_operations_and_response,Outbreak surveillance operations and response systems,forecasting_dynamics
predictive_early_warning_models,Predictive early-warning models,forecasting_dynamics
renewal_reproduction_number_models,Renewal models and reproduction-number estimation,forecasting_dynamics
reproduction_number_estimation_and_monitoring,Reproduction-number estimation and epidemic monitoring,forecasting_dynamics
reproduction_number_methods_theory,"Reproduction-number methods, theory, and computation",forecasting_dynamics
reproduction_number_evidence_syntheses,Reproduction-number reviews and evidence syntheses,forecasting_dynamics
reproduction_number_theory_and_control_models,Reproduction-number theory and control-oriented transmission models,forecasting_dynamics
reproduction_number_threshold_theory,Reproduction-number theory in mechanistic transmission models,forecasting_dynamics
reproduction_number_reviews_meta_analyses,"Reviews, meta-analyses, and comparative syntheses of reproduction numbers",forecasting_dynamics
time_series_forecasting,Statistical time-series forecasting,forecasting_dynamics
surveillance_early_warning_systems,Surveillance and early-warning systems,forecasting_dynamics
transmission_dynamics_inference,Transmission dynamics inference,forecasting_dynamics
reproduction_number_control_studies,Transmission-control and policy studies using reproduction numbers,forecasting_dynamics
agent_based_models,Agent-based and individual-based models,simulation_methods
estimator_operating_characteristics,Estimator operating-characteristic simulation studies,simulation_methods
mechanistic_compartmental_models,Mechanistic compartmental transmission models,simulation_methods
simulation_methodological_evaluation,Other simulation-based methodological evaluation,simulation_methods
simulation_method_comparison,Simulation-based method comparison and benchmarking,simulation_methods
structural_bias_sensitivity_simulation,Structural-bias and quantitative-bias simulation,simulation_methods
synthetic_data_benchmarking,Synthetic-data and benchmark designs,simulation_methods
bayesian_spatiotemporal_models,Bayesian spatiotemporal disease models,spatial_transmission
contact_network_models,Contact-network transmission models,spatial_transmission
descriptive_spatial_clustering,Descriptive spatial and space-time clustering,spatial_transmission
ecological_niche_species_distribution,Ecological-niche and species-distribution models,spatial_transmission
endemic_epidemic_models,Endemic-epidemic spatiotemporal models,spatial_transmission
genomic_epidemiology_transmission,Genomic epidemiology and transmission reconstruction,spatial_transmission
gravity_radiation_mobility_models,"Gravity, radiation, and mobility models",spatial_transmission
metapopulation_models,Metapopulation transmission models,spatial_transmission
spatial_transmission_models,Other spatial-transmission models,spatial_transmission
phylogeography_genomic_diffusion,Phylogeography and genomic diffusion,spatial_transmission
self_exciting_point_processes,Self-exciting spatiotemporal point processes,spatial_transmission
border_discontinuity_designs,Spatial border-discontinuity designs,spatial_transmission
spatial_diffusion_models,Spatial diffusion and spread models,spatial_transmission
spatial_regression_geostatistics,Spatial regression and geostatistical models,spatial_transmission
capture_recapture,Capture-recapture estimation,surveillance_measurement
diagnostic_accuracy_calibration,Diagnostic-accuracy and test-calibration methods,surveillance_measurement
latent_class_models,Latent-class measurement models,surveillance_measurement
measurement_error_models,Measurement-error and misclassification models,surveillance_measurement
multiple_system_estimation,Multiple-system estimation,surveillance_measurement
observation_process_models,Observation-process and detection models,surveillance_measurement
surveillance_measurement_designs,Other surveillance-measurement designs,surveillance_measurement
preferential_sampling,Preferential-sampling models,surveillance_measurement
reporting_delay_nowcasting,Reporting-delay adjustment and nowcasting,surveillance_measurement
sentinel_surveillance_calibration,Sentinel-surveillance calibration,surveillance_measurement
syndromic_surveillance,Syndromic-surveillance methods,surveillance_measurement
