concept_label,canonical_name,family
genomic_epidemiology_transmission,Genomic epidemiology and transmission reconstruction,spatial_transmission
genomic_sentinel_surveillance,Genomic sentinel surveillance,surveillance_measurement
gravity_radiation_mobility_models,"Gravity, radiation, and mobility models",spatial_transmission
heterogeneity_robust_staggered_did,Heterogeneity-robust staggered difference-in-differences,causal_policy
hierarchical_borrowing,Hierarchical and dynamic borrowing,evidence_synthesis
incidence_prevalence_burden_estimation,"Incidence, prevalence, and burden estimation from surveillance or survey data",surveillance_measurement
infectious_disease_forecasting_from_surveillance_data,Infectious disease forecasting from surveillance data,forecasting_dynamics
infectious_disease_review_and_meta_analysis,Infectious disease review and meta-analysis,evidence_synthesis
instrumental_variables,Instrumental-variable designs,causal_policy
interrupted_time_series,Interrupted time series and segmented regression,causal_policy
intervention_and_economic_decision_models,Causal and economic evaluations under incomplete ascertainment,causal_policy
intervention_impact_evaluations,Intervention impact evaluations,causal_policy
latent_class_models,Latent-class measurement models,surveillance_measurement
machine_learning_forecasting,Machine-learning forecasting,forecasting_dynamics
marginal_structural_models,Marginal structural models and inverse-probability weighting,causal_policy
measurement_error_correction_methods,Measurement-error and misclassification correction methods,surveillance_measurement
measurement_error_models,Measurement-error correction and misclassification adjustment,surveillance_measurement
mechanistic_compartmental_models,Mechanistic compartmental transmission models,simulation_methods
mechanistic_outbreak_projection,Mechanistic outbreak projection models,forecasting_dynamics
mechanistic_statistical_hybrids,Mechanistic-statistical hybrid models,forecasting_dynamics
metapopulation_models,Metapopulation transmission models,spatial_transmission
misascertainment_bias_simulation_methods,Misascertainment methodology and bias simulation,simulation_methods
modelled_observed_triangulation,Modelled-versus-observed evidence triangulation,evidence_synthesis
multiple_system_estimation,Multiple-system estimation,surveillance_measurement
negative_controls,Negative-control designs,causal_policy
network_sentinel_optimization_simulation,Network sentinel optimization simulation,simulation_methods
observation_process_models,"Observation-process, detection, and hidden-state models",surveillance_measurement
observation_reporting_process_models,"Observation, detection, and reporting-process models",surveillance_measurement
outbreak_anomaly_detection,Outbreak and anomaly detection,forecasting_dynamics
outcome_definition_sensitivity,Outcome-definition sensitivity analysis,evidence_synthesis
parametric_g_formula,Parametric g-formula and g-computation,causal_policy
partial_observation_epidemic_inference_methods,Partial-observation epidemic inference methods,surveillance_measurement
pharmacovigilance_adverse_event_surveillance,Pharmacovigilance and adverse-event surveillance,surveillance_measurement
phylogeography_genomic_diffusion,Phylogeography and genomic diffusion,spatial_transmission
policy_impact_and_economic_evaluations,Policy-impact and economic evaluation studies,causal_policy
preferential_sampling,Preferential-sampling models,surveillance_measurement
quasi_experimental_policy_evaluation,Other quasi-experimental policy-evaluation designs,causal_policy
regression_discontinuity,Regression discontinuity designs,causal_policy
renewal_reproduction_number_models,Renewal models and reproduction-number estimation,forecasting_dynamics
reporting_adjusted_dynamics_forecasting,Reporting-adjusted epidemic dynamics and forecasting,forecasting_dynamics
reporting_and_surveillance_evidence_syntheses,"Evidence syntheses on surveillance, reporting, and hidden burden",evidence_synthesis
reporting_bias_validation_studies,Reporting bias and measurement-validation studies,surveillance_measurement
reporting_delay_adjustment_nowcasting,Reporting-delay adjustment and nowcasting,surveillance_measurement
reporting_delay_nowcasting,Reporting-delay adjustment and incidence nowcasting,surveillance_measurement
reproduction_number_nowcasting,Reproduction-number nowcasting,surveillance_measurement
safety_surveillance_and_pharmacovigilance,Safety surveillance and pharmacovigilance studies,surveillance_measurement
self_exciting_point_processes,Self-exciting spatiotemporal point processes,spatial_transmission
self_report_and_behavioral_measurement_bias,Self-report and behavioral measurement bias assessment,surveillance_measurement
sentinel_intervention_effectiveness,Sentinel-based intervention effectiveness studies,causal_policy
sentinel_surveillance_calibration,"Sentinel surveillance platform design, evaluation, and extrapolation",surveillance_measurement
sentinel_surveillance_causal_effect_estimation,Sentinel surveillance causal effect estimation,causal_policy
sentinel_surveillance_descriptive_epidemiology,Sentinel surveillance descriptive epidemiology,surveillance_measurement
sentinel_surveillance_effectiveness_risk_evaluation,Sentinel surveillance effectiveness and risk evaluation,causal_policy
sentinel_surveillance_estimation_bias_correction,Sentinel surveillance estimation and bias correction,surveillance_measurement
sentinel_surveillance_inference_calibration,Sentinel surveillance inference and calibration,surveillance_measurement
sentinel_surveillance_outbreak_detection_forecasting,Sentinel surveillance outbreak detection and forecasting,forecasting_dynamics
sentinel_surveillance_system_design_evaluation,Sentinel surveillance system design and evaluation,surveillance_measurement
sentinel_surveillance_system_implementation_evaluation,Sentinel surveillance system implementation and evaluation,surveillance_measurement
sentinel_vaccine_effectiveness_test_negative,Sentinel vaccine-effectiveness and test-negative designs,surveillance_measurement
simulation_decision_analytic_models,Simulation and decision-analytic models for burden or policy planning,simulation_methods
simulation_method_comparison,Simulation-based method comparison and benchmarking,simulation_methods
simulation_methodological_evaluation,Other simulation-based methodological evaluation,simulation_methods
spatial_diffusion_models,Spatial diffusion and spread models,spatial_transmission
spatial_hidden_burden_models,Spatial models of hidden burden and cryptic spread,spatial_transmission
spatial_regression_geostatistics,Spatial regression and geostatistical models,spatial_transmission
spatial_reporting_heterogeneity_analyses,Spatial transmission and reporting-heterogeneity analyses,spatial_transmission
spatial_risk_mapping_detection_adjusted,Spatial risk mapping with detection/reporting adjustment,spatial_transmission
spatial_spatiotemporal_transmission_analyses,Spatial and spatiotemporal transmission analyses,spatial_transmission
spatial_transmission_models,Other spatial-transmission models,spatial_transmission
spatiotemporal_surveillance_and_risk_models,Spatial and spatiotemporal surveillance-risk models,spatial_transmission
spatiotemporal_transmission_with_ascertainment_sensitivity,Spatiotemporal transmission analyses with ascertainment sensitivity,spatial_transmission
specification_curve_multiverse,Specification-curve and multiverse analysis,evidence_synthesis
spillover_risk_mapping_models,Spatial spillover-risk and hidden-burden models,spatial_transmission
structural_bias_sensitivity_simulation,Structural-bias and quantitative-bias simulation,simulation_methods
surveillance_and_burden_reviews,Evidence syntheses on surveillance gaps and hidden burden,evidence_synthesis
surveillance_ascertainment_correction,"Surveillance ascertainment, validation, and correction studies",surveillance_measurement
surveillance_bias_burden_reconstruction,Burden reconstruction and under-ascertainment estimation,surveillance_measurement
surveillance_case_finding_enhancement,Enhanced surveillance and case-finding tools,surveillance_measurement
surveillance_data_validation_and_completeness,Surveillance data validation and completeness assessment,surveillance_measurement
surveillance_evidence_synthesis,Surveillance evidence syntheses and guidance,evidence_synthesis
surveillance_evidence_synthesis_review,Surveillance evidence synthesis and review,evidence_synthesis
surveillance_gap_evidence_synthesis,Surveillance-gap reviews and guidance,evidence_synthesis
surveillance_measurement_designs,"Surveillance under-ascertainment, burden-estimation, and reporting-completeness designs",surveillance_measurement
surveillance_platform_studies,Structured surveillance platform studies,surveillance_measurement
surveillance_risk_factor_analysis,Risk-factor analyses using surveillance data,causal_policy
surveillance_system_design_and_measurement_frameworks,"Surveillance system design, reporting practice, and measurement frameworks",surveillance_measurement
surveillance_system_design_improvement,Surveillance system design and reporting-improvement studies,surveillance_measurement
surveillance_system_evaluation_and_data_quality,Surveillance system evaluation and reporting-quality studies,surveillance_measurement
surveillance_system_evaluation_and_reporting_improvement,Surveillance system evaluation and reporting improvement,surveillance_measurement
surveillance_system_improvement_strategies,Surveillance system improvement and reporting-enhancement strategies,surveillance_measurement
surveillance_system_reporting_interventions,Surveillance system design and reporting interventions,surveillance_measurement
surveillance_underreporting_evaluation,Surveillance underreporting and reporting-quality evaluation,surveillance_measurement
syndromic_surveillance,Syndromic surveillance systems and early-warning methods,surveillance_measurement
syndromic_surveillance_systems,Syndromic surveillance systems,surveillance_measurement
synthetic_control,Synthetic control methods,causal_policy
synthetic_data_benchmarking,Synthetic-data and benchmark designs,simulation_methods
systematic_review_meta_analysis,Systematic-review and meta-analysis methods,evidence_synthesis
target_trial_emulation,Target-trial emulation,causal_policy
targeted_learning_tmle,Targeted learning and targeted maximum-likelihood estimation,causal_policy
time_series_forecasting,Statistical time-series forecasting,forecasting_dynamics
transmission_burden_simulation_with_reporting_adjustment,Transmission and burden simulation studies with reporting adjustment,simulation_methods
transmission_dynamics_and_forecasting_models,Transmission-dynamics and forecasting models,forecasting_dynamics
transmission_dynamics_forecasting_models,"Transmission dynamics, contact measurement, and epidemic forecasting models",forecasting_dynamics
transmission_models_with_underascertainment,Transmission-dynamics models with under-ascertainment,forecasting_dynamics
transportability_generalizability,Transportability and generalizability methods,evidence_synthesis
triangulation_cross_system,Cross-system triangulation,evidence_synthesis
underascertainment_adjusted_burden_estimation,Under-ascertainment-adjusted incidence and burden estimation,surveillance_measurement
underascertainment_and_burden_inference_models,Under-ascertainment and burden inference models,simulation_methods
underascertainment_burden_estimation,Hidden-burden and ascertainment-correction estimation,surveillance_measurement
